"H","F","dhdt","dfdt","Y"
0,0,0.1,20,0
0.1,0,0.1,19,1
0.2,0,0.1,18,2
0.3,0,0.1,17,3
0.4,0,0.1,16,4
0.5,0,0.1,15,5
0.6,0,0.1,14,6
0.7,0,0.1,13,7
0.8,0,0.1,12,8
0.9,0,0.1,11,9
1,0,0,10,10
0,5,0.05,20,0
0.1,5,0.05,18.5,1.5
0.2,5,0.05,17,3
0.3,5,0.05,15.5,4.5
0.4,5,0.05,14,6
0.5,5,0.05,12.5,7.5
0.6,5,0.05,11,9
0.7,5,0.05,9.5,10.5
0.8,5,0.05,8,12
0.9,5,0.05,6.5,13.5
1,5,-0.05,5,15
0,10,0,20,0
0.1,10,0,18,2
0.2,10,0,16,4
0.3,10,0,14,6
0.4,10,0,12,8
0.5,10,0,10,10
0.6,10,0,8,12
0.7,10,0,6,14
0.8,10,0,4,16
0.9,10,0,2,18
1,10,-0.1,0,20
0,15,-0.05,20,0
0.1,15,-0.05,17.5,2.5
0.2,15,-0.05,15,5
0.3,15,-0.05,12.5,7.5
0.4,15,-0.05,10,10
0.5,15,-0.05,7.5,12.5
0.6,15,-0.05,5,15
0.7,15,-0.05,2.5,17.5
0.8,15,-0.05,0,20
0.9,15,-0.05,-2.5,22.5
1,15,-0.15,-5,25
0,20,-0.1,20,0
0.1,20,-0.1,17,3
0.2,20,-0.1,14,6
0.3,20,-0.1,11,9
0.4,20,-0.1,8,12
0.5,20,-0.1,5,15
0.6,20,-0.1,2,18
0.7,20,-0.1,-1,21
0.8,20,-0.1,-4,24
0.9,20,-0.1,-7,27
1,20,-0.2,-10,30
0,25,-0.15,20,0
0.1,25,-0.15,16.5,3.5
0.2,25,-0.15,13,7
0.3,25,-0.15,9.5,10.5
0.4,25,-0.15,6,14
0.5,25,-0.15,2.5,17.5
0.6,25,-0.15,-1,21
0.7,25,-0.15,-4.5,24.5
0.8,25,-0.15,-8,28
0.9,25,-0.15,-11.5,31.5
1,25,-0.25,-15,35
0,30,-0.2,20,0
0.1,30,-0.2,16,4
0.2,30,-0.2,12,8
0.3,30,-0.2,8,12
0.4,30,-0.2,4,16
0.5,30,-0.2,0,20
0.6,30,-0.2,-4,24
0.7,30,-0.2,-8,28
0.8,30,-0.2,-12,32
0.9,30,-0.2,-16,36
1,30,-0.3,-20,40
0,35,-0.25,20,0
0.1,35,-0.25,15.5,4.5
0.2,35,-0.25,11,9
0.3,35,-0.25,6.5,13.5
0.4,35,-0.25,2,18
0.5,35,-0.25,-2.5,22.5
0.6,35,-0.25,-7,27
0.7,35,-0.25,-11.5,31.5
0.8,35,-0.25,-16,36
0.9,35,-0.25,-20.5,40.5
1,35,-0.35,-25,45
0,40,-0.3,20,0
0.1,40,-0.3,15,5
0.2,40,-0.3,10,10
0.3,40,-0.3,5,15
0.4,40,-0.3,0,20
0.5,40,-0.3,-5,25
0.6,40,-0.3,-10,30
0.7,40,-0.3,-15,35
0.8,40,-0.3,-20,40
0.9,40,-0.3,-25,45
1,40,-0.4,-30,50
0,45,-0.35,20,0
0.1,45,-0.35,14.5,5.5
0.2,45,-0.35,9,11
0.3,45,-0.35,3.5,16.5
0.4,45,-0.35,-2,22
0.5,45,-0.35,-7.5,27.5
0.6,45,-0.35,-13,33
0.7,45,-0.35,-18.5,38.5
0.8,45,-0.35,-24,44
0.9,45,-0.35,-29.5,49.5
1,45,-0.45,-35,55
0,50,-0.4,20,0
0.1,50,-0.4,14,6
0.2,50,-0.4,8,12
0.3,50,-0.4,2,18
0.4,50,-0.4,-4,24
0.5,50,-0.4,-10,30
0.6,50,-0.4,-16,36
0.7,50,-0.4,-22,42
0.8,50,-0.4,-28,48
0.9,50,-0.4,-34,54
1,50,-0.5,-40,60
0,55,-0.45,20,0
0.1,55,-0.45,13.5,6.5
0.2,55,-0.45,7,13
0.3,55,-0.45,0.499999999999996,19.5
0.4,55,-0.45,-6,26
0.5,55,-0.45,-12.5,32.5
0.6,55,-0.45,-19,39
0.7,55,-0.45,-25.5,45.5
0.8,55,-0.45,-32,52
0.9,55,-0.45,-38.5,58.5
1,55,-0.55,-45,65
0,60,-0.5,20,0
0.1,60,-0.5,13,7
0.2,60,-0.5,6,14
0.3,60,-0.5,-1,21
0.4,60,-0.5,-8,28
0.5,60,-0.5,-15,35
0.6,60,-0.5,-22,42
0.7,60,-0.5,-29,49
0.8,60,-0.5,-36,56
0.9,60,-0.5,-43,63
1,60,-0.6,-50,70
0,65,-0.55,20,0
0.1,65,-0.55,12.5,7.5
0.2,65,-0.55,5,15
0.3,65,-0.55,-2.5,22.5
0.4,65,-0.55,-10,30
0.5,65,-0.55,-17.5,37.5
0.6,65,-0.55,-25,45
0.7,65,-0.55,-32.5,52.5
0.8,65,-0.55,-40,60
0.9,65,-0.55,-47.5,67.5
1,65,-0.65,-55,75
0,70,-0.6,20,0
0.1,70,-0.6,12,8
0.2,70,-0.6,4,16
0.3,70,-0.6,-4,24
0.4,70,-0.6,-12,32
0.5,70,-0.6,-20,40
0.6,70,-0.6,-28,48
0.7,70,-0.6,-36,56
0.8,70,-0.6,-44,64
0.9,70,-0.6,-52,72
1,70,-0.7,-60,80
0,75,-0.65,20,0
0.1,75,-0.65,11.5,8.5
0.2,75,-0.65,3,17
0.3,75,-0.65,-5.5,25.5
0.4,75,-0.65,-14,34
0.5,75,-0.65,-22.5,42.5
0.6,75,-0.65,-31,51
0.7,75,-0.65,-39.5,59.5
0.8,75,-0.65,-48,68
0.9,75,-0.65,-56.5,76.5
1,75,-0.75,-65,85
0,80,-0.7,20,0
0.1,80,-0.7,11,9
0.2,80,-0.7,2,18
0.3,80,-0.7,-7,27
0.4,80,-0.7,-16,36
0.5,80,-0.7,-25,45
0.6,80,-0.7,-34,54
0.7,80,-0.7,-43,63
0.8,80,-0.7,-52,72
0.9,80,-0.7,-61,81
1,80,-0.8,-70,90
0,85,-0.75,20,0
0.1,85,-0.75,10.5,9.5
0.2,85,-0.75,1,19
0.3,85,-0.75,-8.5,28.5
0.4,85,-0.75,-18,38
0.5,85,-0.75,-27.5,47.5
0.6,85,-0.75,-37,57
0.7,85,-0.75,-46.5,66.5
0.8,85,-0.75,-56,76
0.9,85,-0.75,-65.5,85.5
1,85,-0.85,-75,95
0,90,-0.8,20,0
0.1,90,-0.8,10,10
0.2,90,-0.8,0,20
0.3,90,-0.8,-10,30
0.4,90,-0.8,-20,40
0.5,90,-0.8,-30,50
0.6,90,-0.8,-40,60
0.7,90,-0.8,-50,70
0.8,90,-0.8,-60,80
0.9,90,-0.8,-70,90
1,90,-0.9,-80,100
0,95,-0.85,20,0
0.1,95,-0.85,9.5,10.5
0.2,95,-0.85,-1,21
0.3,95,-0.85,-11.5,31.5
0.4,95,-0.85,-22,42
0.5,95,-0.85,-32.5,52.5
0.6,95,-0.85,-43,63
0.7,95,-0.85,-53.5,73.5
0.8,95,-0.85,-64,84
0.9,95,-0.85,-74.5,94.5
1,95,-0.95,-85,105
0,100,-0.9,20,0
0.1,100,-0.9,9,11
0.2,100,-0.9,-2,22
0.3,100,-0.9,-13,33
0.4,100,-0.9,-24,44
0.5,100,-0.9,-35,55
0.6,100,-0.9,-46,66
0.7,100,-0.9,-57,77
0.8,100,-0.9,-68,88
0.9,100,-0.9,-79,99
1,100,-1,-90,110
